
Params (m, r, d): 5,1,1, 0,7 ----> Map@1 = 0.8048780487804879
Params (m, r, d): 5,1,1, 0,8 ----> Map@1 = 0.7804878048780488
Params (m, r, d): 5,1,1, 0,9 ----> Map@1 = 0.7560975609756098
Params (m, r, d): 5,1,1, 1,0 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,1, 1,1 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,1, 1,2 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,1, 1,3 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,1, 1,4 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,2, 0,4 ----> Map@1 = 0.8536585365853658
Params (m, r, d): 5,1,2, 0,5 ----> Map@1 = 0.9512195121951219
Params (m, r, d): 5,1,2, 0,6 ----> Map@1 = 0.926829268292683
Params (m, r, d): 5,1,2, 0,7 ----> Map@1 = 0.8048780487804879
Params (m, r, d): 5,1,2, 0,8 ----> Map@1 = 0.7804878048780488
Params (m, r, d): 5,1,2, 0,9 ----> Map@1 = 0.7560975609756098
Params (m, r, d): 5,1,2, 1,0 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,2, 1,1 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,2, 1,2 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,2, 1,3 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,2, 1,4 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,3, 0,4 ----> Map@1 = 0.8536585365853658
Params (m, r, d): 5,1,3, 0,5 ----> Map@1 = 0.9512195121951219
Params (m, r, d): 5,1,3, 0,6 ----> Map@1 = 0.926829268292683
Params (m, r, d): 5,1,3, 0,7 ----> Map@1 = 0.8048780487804879
Params (m, r, d): 5,1,3, 0,8 ----> Map@1 = 0.7804878048780488
Params (m, r, d): 5,1,3, 0,9 ----> Map@1 = 0.7560975609756098
Params (m, r, d): 5,1,3, 1,0 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,3, 1,1 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,3, 1,2 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,3, 1,3 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,3, 1,4 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,4, 0,4 ----> Map@1 = 0.8536585365853658
Params (m, r, d): 5,1,4, 0,5 ----> Map@1 = 0.9512195121951219
Params (m, r, d): 5,1,4, 0,6 ----> Map@1 = 0.926829268292683
Params (m, r, d): 5,1,4, 0,7 ----> Map@1 = 0.8048780487804879
Params (m, r, d): 5,1,4, 0,8 ----> Map@1 = 0.7804878048780488
Params (m, r, d): 5,1,4, 0,9 ----> Map@1 = 0.7560975609756098
Params (m, r, d): 5,1,4, 1,0 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,4, 1,1 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,4, 1,2 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,4, 1,3 ----> Map@1 = 0.6097560975609756
Params (m, r, d): 5,1,4, 1,4 ----> Map@1 = 0.6097560975609756
